ISBN,Title,Authors,Publisher,Published Date,Rating,Review Count
0195153448,Classical Mythology,"['Mark P. O. Morford', 'Robert J. Lenardon']","Oxford University Press, USA",2003,,
0060973129,Decision in Normandy,"[""Carlo D'Este""]",Harper Perennial,1991,4.0,2.0
0374157065,Flu,['Gina Bari Kolata'],Macmillan,1999,3.5,18.0
0393045218,The Mummies of Ürümchi,['E. J. W. Barber'],W. W. Norton,1999,4.0,3.0
0399135782,The Kitchen God's Wife,['Amy Tan'],Putnam Publishing Group,1991,4.0,34.0
0425176428,What If?,"['Robert Cowley', 'Stephen E. Ambrose']",Berkley Publishing Group,2000,5.0,1.0
0679425608,Under the Black Flag,['David Cordingly'],Random House Incorporated,1996,3.5,26.0
074322678X,Where You'll Find Me,['Ann Beattie'],Scribner,2002,3.0,3.0
0771074670,Nights Below Station Street,['David Adams Richards'],Emblem Editions,1997,4.0,3.0
080652121X,Hitler's Secret Bankers,['Adam LeBor'],Citadel Press,2000-08-01,,
0887841740,The Middle Stories,['Sheila Heti'],House of Anansi,2001,,
1558746218,A Second Chicken Soup for the Woman's Soul,['Jack Canfield'],Hci,1998,3.0,2.0
1575663937,More Cunning Than Man,['Robert Hendrickson'],Zebra Books,1999,2.0,1.0
1881320189,Goodbye to the Buttermilk Sky,['Julia Oliver'],River City Pub,1994,,
0440234743,The Testament,['John Grisham'],Island Books,2000,4.0,62.0
0452264464,Beloved,['Toni Morrison'],Plume Books,1988,4.0,3.0
0609804618,Our Dumb Century,['Scott Dikkers'],Crown,1999,4.5,15.0
1841721522,New Vegetarian,"['Celia Brooks Brown', 'Philip Webb']",,2001,,
1879384493,If I'd Known Then What I Know Now,['J. R. Parrish'],J.R. Parrish,2003,,
0061076031,Mary-Kate & Ashley Switching Goals,['Mary-Kate & Ashley Olsen'],Harper Collins,2000-04-05,2.0,1.0
0439095026,Tell Me This Isn't Happening!,['Robynn Clairday'],Scholastic Paperbacks,1999,5.0,1.0
0689821166,Flood,"['Kathleen Duey', 'Karen A. Bale']",Simon and Schuster,1998-07,,
0971880107,Wild Animus,['Rich Shapero'],Too Far Pub,2004,1.0,7.0
0345402871,Airframe,['Michael Crichton'],"Random House Digital, Inc.",1997,3.5,45.0
0345417623,Timeline,['Michael Crichton'],,2000,3.5,6.0
0684823802,Out of the Silent Planet,['Clive Staples Lewis'],Scribner,1996,3.5,98.0
0375759778,Prague,['Arthur Phillips'],Random House Trade Paperbacks,2003-06-10,3.5,17.0
0425163091,Chocolate Jesus,['Stephan Jaramillo'],Berkley Trade,1998,,
3404921038,Wie Barney es sieht,['Mordecai Richler'],Bergisch Gladbach [Germany] : BLT,2002,,
3442353866,Der Fluch der Kaiserin,"['Eleanor Cooney', 'Daniel Altieri']",,2001-01,,
3442410665,Sturmzeit,['Charlotte Link'],,1991,,
3442446937,Tage der Unschuld,['Richard North Patterson'],,2000,,
0375406328,Lying Awake,['Mark Salzman'],Alfred a Knopf Incorporated,2000,4.0,16.0
0446310786,To Kill a Mockingbird,['Harper Lee'],Grand Central Publishing,1988-10-11,4.5,2159.0
0449005615,Under the Tuscan Sun,['Frances Mayes'],,2002,4.5,3.0
0060168013,Pigs in Heaven,['Barbara Kingsolver'],"New York, NY : HarperCollins",1993,4.0,35.0
038078243X,Miss Zukas and the Raven's Dance,['Jo Dereske'],Avon,1996-12-01,4.0,2.0
055321215X,Pride and Prejudice,['Jane Austen'],Bantam Classics,1983-12-01,4.0,451.0
067176537X,Therapeutic Touch,['Dolores Krieger'],Simon and Schuster,1979-05,,
0061099686,Downtown,['Anne Rivers Siddons'],HarperTorch,1995-05-24,4.5,4.0
0553582909,Icebound,['Dean Koontz'],Bantam,2000,3.5,11.0
0671888587,I'll Be Seeing You,['Mary Higgins Clark'],Simon and Schuster,1994-05,3.5,5.0
0553582747,From the Corner of His Eye,['Dean Ray Koontz'],Bantam,2001,4.0,42.0
0425182908,Isle of Dogs,['Patricia Cornwell'],National Geographic Books,2002-10-01,2.0,10.0
042518630X,Purity in Death,['J. D. Robb'],National Geographic Books,2002-08-27,4.0,20.0
0440223571,This Year it Will be Different and Other Stories,['Maeve Binchy'],Dell Publishing Company,1997-10,5.0,1.0
0812523873,Proxies,['Laura J. Mixon'],Tor Books,1999,5.0,1.0
0842342702,Left Behind,"['Tim LaHaye', 'Jerry B. Jenkins']",Tyndale House Pub,1998,3.5,3837.0
0440225701,The Street Lawyer,['John Grisham'],Dell Publishing Company,1999,3.5,65.0
0060914068,"Love, Medicine, & Miracles",['Bernie S. Siegel'],HarperCollins Publishers,1988,4.5,2.0
0156047624,All the King's Men,['Robert Penn Warren'],Harvest Books,1982,4.0,109.0
0245542957,The Pacific Northwest,['Hans Hoefer'],,1985,,
0380715899,A Soldier of the Great War,['Mark Helprin'],,1992,4.0,29.0
0553280333,Getting Well Again,"['O. Carl Simonton, M.D.', 'James Creighton, Ph.D.', 'Stephanie Matthews Simonton']",Bantam,1992-04-01,,
0671623249,Lonesome Dove,['Larry McMurtry'],"New York : Pocket Books ; Markham, Ont. : Distributed in Canada by PaperJacks",1985,4.5,132.0
0679810307,Shabanu,['Suzanne Fisher Staples'],Laurel Leaf,1989,3.5,24.0
0679865691,Haveli,['Suzanne Fisher Staples'],Laurel Leaf,1995,3.5,14.0
2070423204,Lieux dits,['Michel Tournier'],Editions Gallimard,2002,,
0345260317,The Dragons of Eden,['Carl Sagan'],,1978,5.0,2.0
0394743741,The Yawning Heights,['Aleksandr Zinoviev'],,1980-01-01,,
0804106304,The Joy Luck Club,['Amy Tan'],,1990,4.0,3.0
1853262404,Heart of Darkness and Other Stories,['Joseph Conrad'],Wordsworth Editions,1995,3.0,6.0
